Datos X;Sitio1A-BVrmsMáx[Voltios];Sitio1B-CVrmsMáx[Voltios];Sitio1C-AVrmsMáx[Voltios];Sitio1AIrmsMáx[Amperios];Sitio1BIrmsMáx[Amperios];Sitio1CIrmsMáx[Amperios];Sitio1TOTP(kW)Máx[kW];Sitio1TOTQ-Fnd(kVAR)Máx[kVAR];Sitio1TOTPEnerg(kWh)Valor[kWh];Sitio2A-BVrmsMáx[Voltios];Sitio2B-CVrmsMáx[Voltios];Sitio2C-AVrmsMáx[Voltios];Sitio2AIrmsMáx[Amperios];Sitio2BIrmsMáx[Amperios];Sitio2CIrmsMáx[Amperios];Sitio2TOTP(kW)Máx[kW];Sitio2TOTQ-Fnd(kVAR)Máx[kVAR];
17/05/2015 07:55:46;56672;56468;56237;128.41;127.23;125.54;10940;5106;198510;56717;56490;56273;276.74;283.74;276.35;26049;3080.4;
17/05/2015 07:55:47;56720;56463;56243;127.64;125.94;124.09;10861;5094;198510;56766;56486;56264;274.70;281.28;273.89;25921;3031.7;
17/05/2015 07:55:48;56660;56352;56221;129.37;127.30;125.01;10881;5069;198510;56702;56434;56242;274.73;279.60;274.65;25385;3556;
17/05/2015 07:55:49;56692;56488;56313;128.32;125.91;124.51;10850;5081;198510;56741;56499;56347;281.81;291.66;286.12;25495;2841.1;
17/05/2015 07:55:50;56561;56448;56293;126.66;125.92;124.16;10826;5046;198510;56617;56455;56300;265.46;270.00;267.56;24577;4053;
17/05/2015 07:55:51;56538;56524;56290;127.41;126.51;124.93;10834;5046;198510;56588;56546;56320;270.90;275.37;273.15;25258;3453;
17/05/2015 07:55:52;56743;56521;56297;127.72;126.29;125.49;10885;5092;198510;56604;56539;56330;265.12;271.65;268.40;25038;2100.8;
17/05/2015 07:55:53;56836;56523;56324;129.06;126.55;123.80;10894;5104;198510;56875;56542;56345;261.63;267.88;261.42;24326;1560.3;
17/05/2015 07:55:54;56743;56463;56356;130.40;126.70;125.35;10935;5107;198510;56746;56452;56247;250.63;256.80;251.59;23584;1021.6;
17/05/2015 07:55:55;56578;56568;56382;130.36;129.48;127.51;11023;5171;198510;56790;56584;56377;259.03;264.24;256.47;24234;1317.6;
17/05/2015 07:55:56;56889;56651;56393;126.98;126.09;124.40;10718;5045;198510;56937;56671;56426;255.20;261.35;255.81;24090;1242.1;
17/05/2015 07:55:57;56781;56472;56293;125.39;124.32;122.22;10660;5001;198510;56826;56530;56278;256.09;262.50;255.68;24073;1122.1;
17/05/2015 07:55:58;56783;56552;56429;128.22;126.41;125.42;10739;5020;198510;56832;56566;56450;254.08;258.91;253.76;23944;1098.7;
17/05/2015 07:55:59;56723;56575;56250;128.51;127.67;124.73;10938;5100;198510;56768;56584;56350;247.65;253.76;247.73;23176;542.3;
17/05/2015 07:56:00;56725;56417;56279;129.05;126.95;124.82;10999;5129;198510;56748;56432;56273;242.11;247.51;241.38;23026;369.1;
17/05/2015 07:56:01;56919;56439;56241;130.50;127.47;126.69;11055;5135;198510;56962;56443;56302;244.32;247.76;243.11;23035;398.9;
17/05/2015 07:56:02;56758;56452;56429;131.22;128.54;127.70;11136;5194;198510;56784;56473;56444;224.55;229.20;223.82;20570;-988.7480;
17/05/2015 07:56:03;56861;56553;56423;130.16;126.63;126.67;11009;5080;198510;56899;56568;56442;216.07;219.90;214.10;20301;-1052.0864;
17/05/2015 07:56:04;56832;56506;56445;130.45;127.33;128.03;11126;5115;198510;56884;56521;56475;217.63;218.17;212.71;20146;-1175.1089;
17/05/2015 07:56:05;56821;56454;56412;130.57;127.13;127.80;11148;5184;198510;56844;56475;56432;211.46;213.92;210.03;20053;-1218.3495;
17/05/2015 07:56:06;56974;56497;56481;133.99;128.04;127.82;11149;5187;198510;57019;56459;56468;211.95;216.59;211.17;19970;-1278.6427;
17/05/2015 07:56:07;56901;56622;56438;131.25;128.70;126.82;11147;5167;198510;56950;56584;56484;212.28;212.73;208.32;19967;-1255.4999;
17/05/2015 07:56:08;56901;56417;56394;132.65;128.78;127.91;11209;5231;198510;56946;56648;56359;215.20;215.76;210.39;20035;-1268.8984;
17/05/2015 07:56:09;56798;56452;56423;131.99;128.95;129.08;11271;5249;198510;56952;56464;56453;210.22;214.15;209.78;20075;-1240.5789;
17/05/2015 07:56:10;56849;56459;56346;132.32;129.21;127.49;11235;5229;198510;56899;56492;56338;211.89;216.87;211.74;20159;-1174.4999;
17/05/2015 07:56:11;56790;56588;56517;132.66;130.98;129.72;11235;5195;198510;56859;56608;56525;211.22;220.16;212.59;20213;-1115.1202;
17/05/2015 07:56:12;57001;56579;56398;136.70;130.39;128.85;11302;5259;198510;57055;56593;56421;218.10;218.52;213.45;20228;-1131.5638;
17/05/2015 07:56:13;56996;56737;56495;134.18;131.64;129.89;11352;5312;198510;57043;56713;56444;215.21;218.44;212.17;20127;-1181.8081;
17/05/2015 07:56:14;56950;56670;56369;135.00;131.61;127.83;11310;5312;198510;56999;56768;56524;212.79;220.77;211.61;19904;-1327.6691;
17/05/2015 07:56:15;56985;56657;56362;136.13;134.03;129.67;11385;5336;198510;57032;56691;56397;216.65;220.74;209.28;19965;-1239.0563;
17/05/2015 07:56:16;57056;56876;56275;135.63;135.37;128.89;11367;5328;198510;57097;56895;56300;216.69;220.94;211.60;20077;-1100.5037;
17/05/2015 07:56:17;57136;56661;56203;136.82;132.95;128.11;11381;5293;198510;57183;56675;56240;215.14;217.89;208.68;20059;-1102.0262;
17/05/2015 07:56:18;56961;56657;56019;135.04;135.37;126.80;11305;5308;198510;57004;56675;56076;217.85;221.55;209.80;20096;-1080.7104;
17/05/2015 07:56:19;56810;56768;55999;133.27;136.61;126.49;11353;5353;198510;56862;56766;56027;213.61;223.18;207.90;20066;-1090.4548;
17/05/2015 07:56:20;57016;56782;56191;134.57;136.76;126.16;11258;5332;198510;57057;56798;56226;214.77;221.44;208.26;20129;-1033.8157;
17/05/2015 07:56:21;56925;56782;56131;133.72;131.94;125.85;11229;5302;198510;56941;56804;56163;216.53;222.54;209.28;20125;-1089.8457;
17/05/2015 07:56:22;57098;57065;56355;132.98;132.09;126.68;11208;5310;198510;57144;57096;56377;218.88;220.14;212.69;20169;-1114.2067;
17/05/2015 07:56:23;57056;57176;56237;133.39;136.32;125.04;11154;5263;198510;57103;57214;56354;213.51;223.06;210.31;20140;-1075.5337;
17/05/2015 07:56:24;57014;56949;56281;132.41;135.82;124.18;11127;5275;198510;57097;56982;56300;213.86;221.63;209.32;20143;-1048.7367;
17/05/2015 07:56:25;57018;56884;56535;132.39;132.83;126.34;11089;5225;198510;57055;56907;56329;214.58;221.98;211.45;20236;-981.4398;
17/05/2015 07:56:26;57136;57060;56549;132.29;131.19;125.77;11070;5245;198510;57181;57071;56567;217.30;222.54;209.56;20203;-966.2142;
17/05/2015 07:56:27;56796;57232;56369;129.72;133.12;126.24;11033;5193;198510;57164;57267;56421;218.48;226.67;213.95;20365;-856.2856;
17/05/2015 07:56:28;56852;56753;56506;129.16;127.86;126.44;10955;5113;198510;56828;56880;56475;216.50;222.94;216.26;20418;-848.0638;
17/05/2015 07:56:29;57079;56969;56654;126.79;126.81;123.99;10778;5057;198510;57146;56991;56671;217.12;223.37;216.97;20477;-847.1503;
17/05/2015 07:56:30;56890;56886;56407;125.03;124.74;121.91;10797;5072;198510;57148;56918;56491;215.66;220.83;215.23;20407;-921.1465;
17/05/2015 07:56:31;56983;56835;56450;127.25;126.34;124.14;10921;5132;198510;57024;56875;56442;216.05;222.16;217.55;20628;-837.4059;
17/05/2015 07:56:32;57009;56924;56508;127.69;127.07;125.37;10801;5113;198510;57055;56924;56529;221.29;227.61;221.14;20697;-757.0150;
17/05/2015 07:56:33;57014;56844;56665;128.84;128.87;125.94;10859;5015;198510;57061;56826;56682;221.54;231.01;221.85;20727;-821.8759;
17/05/2015 07:56:34;56999;56820;56641;132.82;130.91;128.16;11049;5162;198510;56970;56855;56664;219.50;227.80;219.23;20823;-702.2029;
17/05/2015 07:56:35;57063;56918;56654;130.90;130.58;127.52;11099;5182;198510;57112;56925;56623;220.98;229.10;223.56;20924;-671.7518;
17/05/2015 07:56:36;57009;57002;56672;132.39;130.71;128.98;11161;5169;198510;57079;57018;56700;225.91;232.75;229.14;21018;-545.9886;
17/05/2015 07:56:37;56790;56768;56438;130.19;130.66;127.75;11129;5205;198510;56806;56762;56459;223.77;234.07;222.84;21010;-554.5150;
17/05/2015 07:56:38;56961;56773;56777;132.34;130.04;130.49;11095;5193;198510;57006;56791;56809;221.31;227.67;220.81;20886;-644.9548;
17/05/2015 07:56:39;56959;56566;56564;130.11;128.61;127.70;10974;5099;198510;57001;56691;56628;220.10;226.79;222.24;20690;-786.5526;
17/05/2015 07:56:40;56712;56524;56768;128.68;127.78;134.40;11058;5168;198510;56613;56546;56796;217.60;225.75;224.78;20726;-799.6465;
17/05/2015 07:56:41;56774;56481;56910;128.73;126.66;131.80;11022;5118;198510;56786;56530;56926;219.56;225.29;224.16;20729;-869.3796;
17/05/2015 07:56:42;56938;56693;56750;131.72;128.82;130.57;11032;5135;198510;56990;56660;56780;221.38;229.35;226.07;20763;-776.1992;
17/05/2015 07:56:43;56749;56570;56890;131.10;128.60;130.23;11072;5139;198510;56988;56717;56922;221.28;225.09;220.93;20764;-658.0488;
17/05/2015 07:56:44;56939;56577;56385;131.76;129.41;126.44;11063;5092;198510;56917;56599;56597;222.99;225.87;221.13;20667;-690.3270;
17/05/2015 07:56:45;56961;56581;56236;132.46;129.40;126.49;11090;5100;198510;56979;56591;56266;221.96;225.13;218.10;20745;-608.1089;
17/05/2015 07:56:46;56972;56530;56439;132.38;129.80;126.48;11112;5111;198510;57023;56617;56464;222.71;228.89;220.72;20855;-559.0826;
17/05/2015 07:56:47;56798;56434;56324;133.36;129.12;128.88;11143;5103;198510;56841;56499;56327;224.00;227.80;219.13;20879;-590.7518;
17/05/2015 07:56:48;56727;56615;56396;131.38;130.30;128.94;11134;5107;198510;56802;56637;56368;229.42;233.35;227.47;21166;564.9;
17/05/2015 07:56:49;56730;56619;56434;132.38;132.33;130.55;11223;5128;198510;56779;56633;56457;231.19;240.07;234.86;21755;842.6;
17/05/2015 07:56:50;56774;56564;56283;132.53;132.76;128.92;11287;5192;198510;56822;56624;56309;225.62;231.75;225.00;20468;775.6;
17/05/2015 07:56:51;56625;56664;56472;131.51;131.01;128.61;11203;5169;198510;56704;56497;56298;226.15;231.08;223.99;21007;1514.0;
17/05/2015 07:56:52;56801;56679;56580;131.51;130.67;129.26;11201;5173;198510;56844;56706;56603;225.64;228.77;224.00;20891;218.33;
17/05/2015 07:56:53;56905;56691;56539;132.12;132.01;129.29;11256;5188;198510;56815;56697;56551;221.11;225.33;220.77;20909;-495.7443;
17/05/2015 07:56:54;56909;56817;56611;133.49;131.95;133.50;11367;5232;198510;56959;56842;56579;223.34;227.79;221.56;21145;-298.4210;
17/05/2015 07:56:55;56800;56561;56681;136.21;135.62;135.28;11607;5266;198510;56844;56673;56700;222.24;231.18;226.05;21187;-303.5977;
17/05/2015 07:56:56;56694;56566;56474;133.27;133.27;129.89;11235;5149;198510;56739;56572;56489;223.40;231.85;224.25;21202;-401.3458;
17/05/2015 07:56:57;56836;56708;56512;133.45;132.95;130.89;11283;5172;198510;56819;56744;56478;222.77;228.66;223.92;21016;-464.3797;
17/05/2015 07:56:58;56843;56744;56582;130.17;129.10;128.24;11069;5065;198510;56881;56773;56581;225.26;230.71;223.58;20985;-417.7894;
17/05/2015 07:56:59;56694;56573;56533;130.24;130.20;128.84;11138;5145;198510;56892;56693;56607;221.04;227.16;224.14;20828;-661.0939;
17/05/2015 07:57:00;56776;56563;56670;132.10;130.43;129.79;11176;5169;198510;56819;56582;56690;225.06;231.69;225.24;20952;-571.5676;
17/05/2015 07:57:01;56796;56626;56636;132.47;130.82;130.60;11253;5151;198510;56802;56619;56601;219.92;226.80;223.00;20819;-636.4285;
17/05/2015 07:57:02;56670;56519;56346;132.37;131.43;130.40;11160;5152;198510;56841;56640;56646;222.16;227.20;223.68;21042;-379.1165;
17/05/2015 07:57:03;56814;56485;56468;130.22;127.91;127.52;10996;5069;198510;56768;56512;56491;229.07;233.54;226.78;21228;-249.3947;
17/05/2015 07:57:04;56670;56517;56616;129.73;127.85;128.54;11058;5084;198510;56864;56546;56634;229.24;234.41;229.40;21731;138.86;
17/05/2015 07:57:05;56823;56612;56544;130.80;128.73;129.54;11135;5110;198510;56864;56624;56558;229.14;238.63;230.36;21460;-5.7857;
17/05/2015 07:57:06;56707;56526;56613;131.14;128.61;130.07;11181;5161;198510;56751;56593;56635;223.42;229.51;227.33;21167;-207.0677;
17/05/2015 07:57:07;56767;56604;56591;133.04;129.73;133.11;11241;5207;198510;56799;56515;56614;220.70;224.94;221.99;20884;-364.8045;
17/05/2015 07:57:08;56692;56414;56638;130.85;128.22;130.59;11174;5148;198510;56817;56628;56599;217.25;222.04;218.52;20524;-776.5037;
17/05/2015 07:57:09;56685;56401;56470;130.46;129.16;130.01;11200;5162;198510;56735;56428;56677;218.61;223.17;221.93;20722;-697.9398;
17/05/2015 07:57:10;56610;56510;56427;130.71;129.37;129.32;11198;5180;198510;56670;56435;56442;222.16;227.81;222.76;21076;-390.0789;
17/05/2015 07:57:11;56681;56397;56591;131.45;127.57;134.24;11183;5116;198510;56726;56532;56637;219.56;224.90;222.33;20907;-510.0563;
17/05/2015 07:57:12;56636;56368;56650;132.51;129.04;132.34;11299;5181;198510;56673;56372;56533;224.29;226.11;227.16;21093;-441.2368;
17/05/2015 07:57:13;56767;56505;56793;131.84;128.84;132.48;11304;5240;198510;56795;56526;56837;228.00;231.18;228.99;20857;-540.2029;
17/05/2015 07:57:14;56736;56523;56712;131.77;129.91;133.23;11331;5200;198510;56804;56542;56738;207.47;215.27;215.77;19755;-1328.8871;
17/05/2015 07:57:15;56803;56604;56784;132.55;131.68;131.34;11279;5219;198510;56835;56581;56607;226.52;231.75;228.65;21086;-461.3345;
17/05/2015 07:57:16;56841;56788;56607;134.13;132.76;130.47;11248;5206;198510;56895;56820;56801;230.51;238.85;232.69;21490;-55.1165;
17/05/2015 07:57:17;56887;56677;56587;133.40;131.51;130.14;11274;5238;198510;56793;56631;56471;234.14;243.40;237.50;21820;346.8;
17/05/2015 07:57:18;56707;56642;56472;132.23;131.76;129.53;11304;5243;198510;56933;56695;56612;249.27;255.79;249.85;22568;660.8;
17/05/2015 07:57:19;56700;56563;56349;130.99;131.53;128.67;11262;5233;198510;56737;56606;56453;249.34;256.41;253.04;23792;1120.6;
17/05/2015 07:57:20;56763;56670;56418;132.34;131.68;129.95;11318;5256;198510;56813;56689;56450;251.00;257.17;252.36;23691;1042.0;
17/05/2015 07:57:21;56712;56428;56681;132.58;130.62;131.30;11318;5224;198510;56782;56521;56432;244.43;250.33;245.09;23058;455.2;
17/05/2015 07:57:22;56732;56510;56346;132.25;130.81;129.34;11270;5204;198510;56775;56512;56704;246.44;251.94;247.40;23334;433.6;
17/05/2015 07:57:23;56776;56653;56513;131.60;132.27;129.74;11266;5244;198510;56821;56562;56482;249.63;255.70;249.46;22962;225.03;
17/05/2015 07:57:24;56685;56548;56418;130.96;130.06;128.75;11242;5218;198510;56761;56673;56536;226.32;234.33;227.55;20606;-818.8307;
17/05/2015 07:57:25;56621;56495;56340;131.82;130.84;128.94;11148;5179;198510;56666;56497;56372;218.10;222.68;223.51;20626;-862.3759;
17/05/2015 07:57:26;56667;56682;56479;128.94;129.48;127.26;11038;5157;198510;56651;56673;56509;219.28;225.65;217.00;20590;-850.4999;
17/05/2015 07:57:27;56627;56581;56225;128.51;128.94;126.02;11025;5136;198510;56708;56599;56338;220.21;226.87;219.57;20778;-694.2856;
17/05/2015 07:57:28;56632;56541;56201;129.64;129.96;125.77;10994;5132;198510;56677;56515;56217;219.76;227.30;218.19;20839;-694.8947;
17/05/2015 07:57:29;56698;56670;56477;127.55;127.67;125.39;10943;5113;198510;56686;56582;56379;221.56;228.33;222.02;20950;-521.0187;
17/05/2015 07:57:30;56736;56719;56429;128.68;127.02;125.30;10898;5078;198510;56781;56739;56500;224.21;229.19;225.78;21012;-506.0977;
17/05/2015 07:57:31;56685;56657;56342;127.76;127.23;124.62;10779;5038;198510;56735;56675;56332;224.07;229.36;225.63;21336;-235.9962;
17/05/2015 07:57:32;56552;56662;56356;124.45;125.74;123.14;10700;4992;198510;56666;56650;56361;226.75;232.68;227.24;21338;-251.5263;
17/05/2015 07:57:33;56554;56898;56519;124.53;127.67;123.58;10795;5051;198510;56599;56840;56397;228.38;235.99;230.09;21419;-128.8083;
17/05/2015 07:57:34;56494;56769;56387;125.49;128.51;126.07;10841;5065;198510;56595;56920;56543;223.56;233.15;227.58;21456;-24.6654;
17/05/2015 07:57:35;56521;56802;56403;127.03;128.50;125.98;10944;5129;198510;56508;56824;56426;232.09;240.59;230.42;21411;-178.4436;
17/05/2015 07:57:36;56512;56651;56153;124.66;127.86;123.83;10788;5018;198510;56562;56751;56300;227.60;236.06;228.19;21590;-106.8834;
17/05/2015 07:57:37;56591;56593;56272;124.72;124.91;121.96;10742;4991;198510;56639;56631;56294;230.38;235.98;227.02;21754;12.180;
17/05/2015 07:57:38;56634;56593;56147;125.80;125.82;122.76;10814;5031;198510;56546;56537;56130;230.06;237.63;230.63;22072;226.56;
17/05/2015 07:57:39;56563;56671;56149;125.89;127.66;122.42;10854;5055;198510;56679;56622;56170;233.63;243.04;236.48;22247;520.1;
17/05/2015 07:57:40;56514;56519;56319;127.27;128.04;123.97;10903;5019;198510;56604;56680;56334;237.94;243.90;238.32;22487;790.2;
17/05/2015 07:57:41;56652;56648;56178;128.59;129.81;125.94;11056;5092;198510;56699;56646;56197;235.73;242.11;234.68;22420;757.0;
17/05/2015 07:57:42;56721;56557;56237;129.06;128.65;125.08;11073;5112;198510;56615;56655;56235;232.94;242.21;235.92;22276;662.9;
17/05/2015 07:57:43;56707;56708;56324;127.94;128.12;126.18;11022;5094;198510;56771;56635;56339;235.36;243.46;235.52;22406;993.6;
17/05/2015 07:57:44;56449;56374;56144;128.03;127.52;124.48;11006;5036;198510;56681;56715;56327;253.15;259.93;252.75;23131;2574.0;
17/05/2015 07:57:45;56591;56532;56263;128.99;129.90;125.89;11045;5088;198510;56640;56555;56273;258.63;263.74;260.28;23297;2116.7;
17/05/2015 07:57:46;56491;56401;56236;129.88;131.50;126.73;11096;5078;198510;56531;56466;56262;245.50;250.69;245.65;22527;3378;
17/05/2015 07:57:47;56600;56450;56126;129.40;128.94;126.29;11037;5100;198510;56530;56468;56146;245.02;252.90;248.69;23135;2672.4;
17/05/2015 07:57:48;56690;56541;56310;129.53;129.13;126.37;11033;5155;198510;56690;56555;56312;241.08;247.95;241.34;22982;1370.0;
17/05/2015 07:57:49;56483;56410;56129;130.89;130.02;125.45;11069;5177;198510;56731;56515;56112;244.70;249.87;244.93;22995;1262.5;
17/05/2015 07:57:50;56463;56417;56079;132.73;133.56;128.99;11246;5267;198510;56528;56421;56161;243.20;252.61;246.43;23173;1252.2;
17/05/2015 07:57:51;56472;56423;56201;129.80;130.08;126.26;11121;5186;198510;56515;56426;56089;249.69;258.29;249.46;23467;1395.3;
17/05/2015 07:57:52;56480;56408;56072;128.99;129.00;126.15;11093;5155;198510;56502;56421;56231;253.80;260.59;255.34;23516;1429.7;
17/05/2015 07:57:53;56398;56358;56059;129.37;129.63;127.01;11142;5125;198510;56528;56350;56067;267.64;275.07;268.97;24260;2075.5;
17/05/2015 07:57:54;56427;56350;56111;129.28;130.26;126.76;11161;5135;198510;56469;56383;56130;254.30;259.68;254.75;23658;1882.8;
17/05/2015 07:57:55;56449;56419;56037;128.37;129.87;126.25;11042;5114;198510;56411;56443;56045;290.30;296.28;288.82;26479;3257;
17/05/2015 07:57:56;56471;56345;56028;129.73;129.41;126.21;11048;5122;198510;56493;56435;56072;294.74;302.35;296.62;27515;3690;
17/05/2015 07:57:57;56583;56535;56140;130.46;130.02;126.78;11029;5114;198510;56630;56524;56143;291.92;299.74;291.70;27128;3452;
17/05/2015 07:57:58;56512;56387;56265;129.30;128.33;125.23;10968;5104;198510;56550;56408;56287;292.97;299.89;294.08;27230;3504;
17/05/2015 07:57:59;56492;56604;56039;128.33;129.78;125.69;10999;5117;198510;56540;56626;56105;297.68;303.49;294.25;27372;3542;
17/05/2015 07:58:00;56438;56368;56075;128.84;128.88;125.71;10967;5051;198510;56433;56343;56069;291.58;299.17;291.87;27164;3291;
17/05/2015 07:58:01;56423;56314;56012;126.16;126.07;123.35;10836;4988;198510;56480;56385;56100;288.29;295.46;290.65;27143;3254;
17/05/2015 07:58:02;56458;56272;56081;126.81;125.86;123.34;10881;4974;198510;56500;56307;56096;283.27;290.16;284.61;26996;3124.3;
17/05/2015 07:58:03;56332;56325;55918;126.79;127.83;123.92;10927;5004;198510;56444;56352;55988;287.05;292.92;285.35;27017;3173;
17/05/2015 07:58:04;56322;56352;56055;126.04;127.53;123.41;10863;4971;198510;56364;56374;55946;284.82;295.07;288.88;27043;3214;
17/05/2015 07:58:05;56320;56359;55929;127.56;129.01;124.45;10912;5000;198510;56359;56312;56074;286.54;294.74;287.78;27107;3221;
17/05/2015 07:58:06;56400;56269;56079;128.47;127.19;124.99;10941;5055;198510;56440;56379;56098;286.71;295.17;286.21;27040;3173;
17/05/2015 07:58:07;56334;56189;55965;126.75;127.16;124.02;10925;5045;198510;56379;56276;56060;283.85;290.84;284.94;27048;3225;
17/05/2015 07:58:08;56336;56209;55974;128.39;128.75;126.26;11008;5097;198510;56377;56212;56002;284.78;290.88;285.81;26958;3199;
17/05/2015 07:58:09;56429;56301;56077;125.61;127.27;123.94;10758;4987;198510;56426;56317;56090;282.90;288.85;282.46;26638;3016.8;
17/05/2015 07:58:10;56391;56216;56027;125.93;126.42;122.43;10817;4996;198510;56473;56323;56045;280.13;286.47;280.22;26527;3040.8;
17/05/2015 07:58:11;56411;56296;56014;126.84;127.08;123.48;10849;5004;198510;56429;56287;56006;279.54;288.53;279.51;26599;3080.4;
17/05/2015 07:58:12;56434;56325;55953;128.31;129.80;125.26;11016;5048;198510;56486;56336;56042;282.32;287.68;281.51;26625;3098.1;
17/05/2015 07:58:13;56312;56390;55989;128.74;129.14;126.24;11066;5055;198510;56304;56412;55973;278.06;288.50;280.75;26642;3162;
17/05/2015 07:58:14;56536;56408;56057;129.68;128.75;125.80;11098;5068;198510;56571;56435;56078;283.20;289.99;284.71;26541;3101.4;
17/05/2015 07:58:15;56414;56232;56093;129.29;127.93;125.94;11015;5027;198510;56459;56252;56114;280.12;286.19;282.75;26563;3063.7;
17/05/2015 07:58:16;56607;56416;56118;129.28;128.46;125.57;10954;5004;198510;56415;56245;56013;279.28;288.45;284.23;26571;3057.0;
17/05/2015 07:58:17;56527;56376;56059;129.97;130.21;126.40;10994;5062;198510;56650;56455;56127;280.02;287.62;280.16;26459;3014.4;
17/05/2015 07:58:18;56452;56352;56014;128.18;127.32;125.72;10958;5074;198510;56473;56359;56002;281.15;287.94;281.41;26502;2979.6;
17/05/2015 07:58:19;56416;56307;56050;128.20;127.98;125.08;10963;5075;198510;56499;56339;56062;281.07;287.57;279.95;26526;2995.8;
17/05/2015 07:58:20;56500;56394;56012;130.05;129.15;125.72;11049;5122;198510;56511;56410;56042;284.76;288.14;282.04;26660;3102.4;
17/05/2015 07:58:21;56325;56269;55940;128.71;130.14;125.31;11081;5127;198510;56544;56303;55997;284.82;292.46;282.04;26682;3168;
17/05/2015 07:58:22;56452;56276;56158;129.81;130.19;127.25;11079;5129;198510;56497;56297;56177;283.33;293.25;285.22;26776;3189;
17/05/2015 07:58:23;56660;56463;56043;132.00;130.31;126.30;11069;5137;198510;56668;56415;56065;283.93;289.97;282.83;26727;3202;
17/05/2015 07:58:24;56545;56339;56055;131.40;130.35;127.58;11119;5144;198510;56701;56481;56078;284.11;290.06;283.34;26659;3166;
17/05/2015 07:58:25;56478;56392;56054;131.41;131.22;127.32;11071;5133;198510;56588;56403;56081;284.72;287.38;280.68;26571;3119.4;
17/05/2015 07:58:26;56543;56394;56019;129.46;131.12;126.76;11078;5140;198510;56584;56414;56038;277.50;285.11;279.10;26328;2971.7;
17/05/2015 07:58:27;56469;56385;56043;129.49;128.38;125.61;10995;5122;198510;56515;56408;56069;275.28;285.66;277.95;26266;2821.9;
17/05/2015 07:58:28;56361;56403;56055;127.20;128.98;124.71;10993;5100;198510;56459;56406;56083;277.74;286.44;280.41;26489;2890.1;
17/05/2015 07:58:29;56503;56519;56041;129.00;128.75;124.57;10984;5117;198510;56546;56346;56063;277.22;284.73;279.54;26523;2891.3;
17/05/2015 07:58:30;56565;56463;56091;128.69;129.51;125.40;10923;5086;198510;56606;56528;56098;278.32;286.63;278.21;26385;2903.2;
17/05/2015 07:58:31;56545;56383;56185;128.41;127.41;124.45;10927;5071;198510;56573;56410;56119;277.91;284.05;280.20;26274;2808.2;
17/05/2015 07:58:32;56732;56534;56183;132.04;130.83;127.31;11139;5159;198510;56775;56472;56199;279.33;283.35;278.29;26340;2822.8;
17/05/2015 07:58:33;56714;56488;56144;133.76;130.82;127.25;11179;5178;198510;56764;56575;56195;279.31;285.40;279.51;26331;2843.5;
17/05/2015 07:58:34;56658;56528;56180;129.79;129.35;126.41;11049;5127;198510;56753;56539;56206;280.14;285.65;281.10;26388;2868.8;
17/05/2015 07:58:35;56800;56479;56084;132.56;131.32;126.40;11152;5085;198510;56842;56466;56112;286.62;291.58;281.36;26605;2905.6;
17/05/2015 07:58:36;56863;56517;56108;132.58;130.72;126.39;11189;5134;198510;56910;56526;56145;285.92;289.10;286.09;26693;2955.3;
17/05/2015 07:58:37;56863;56581;56079;133.11;130.06;125.97;11142;5080;198510;56828;56595;56092;283.19;289.37;279.98;26521;2767.1;
17/05/2015 07:58:38;56823;56541;56043;134.66;131.53;125.99;11172;5142;198510;56908;56544;56105;284.70;288.36;285.68;26538;2783.8;
17/05/2015 07:58:39;56863;56463;55996;133.07;130.95;124.78;11125;5134;198510;56910;56477;56013;283.63;289.47;280.50;26427;2706.2;
17/05/2015 07:58:40;56814;56534;56039;131.37;129.31;125.47;11088;5134;198510;56855;56557;56058;283.13;288.26;278.82;26353;2758.9;
17/05/2015 07:58:41;56714;56486;56070;132.53;130.34;126.83;11161;5140;198510;56759;56504;56096;281.43;285.55;278.37;26238;2587.1;
17/05/2015 07:58:42;56932;56327;55989;139.37;133.95;129.64;11333;5250;198510;56979;56426;56098;279.01;284.24;278.55;26300;2629.5;
17/05/2015 07:58:43;56736;56483;56194;133.59;131.21;126.78;11200;5121;198510;56735;56406;56053;278.84;282.82;274.68;26255;2529.0;
17/05/2015 07:58:44;56621;56450;56084;130.58;129.45;126.03;11139;5072;198510;56782;56490;56220;274.68;280.36;274.25;26052;2405.9;
17/05/2015 07:58:45;56603;56414;56072;129.65;129.36;125.24;11150;5072;198510;56668;56461;56118;274.15;281.36;274.10;25761;2243.9;
17/05/2015 07:58:46;56832;56495;56176;133.58;131.48;126.90;11228;5142;198510;56877;56521;56150;270.68;276.76;267.31;25330;1983.3;
17/05/2015 07:58:47;56712;56443;56189;132.54;130.26;126.52;11226;5108;198510;56759;56470;56197;267.26;271.64;267.53;24704;1429.1;
17/05/2015 07:58:48;56752;56392;56155;131.87;129.83;125.89;11216;5116;198510;56802;56419;56181;266.97;272.59;266.12;25156;1735.7;
17/05/2015 07:58:49;56652;56517;56061;130.29;129.42;125.53;11192;5120;198510;56681;56550;56069;266.46;272.31;266.59;25378;1910.5;
17/05/2015 07:58:50;56689;56437;56151;130.76;128.94;125.06;11163;5095;198510;56737;56461;56164;266.44;274.36;264.25;25365;1940.7;
17/05/2015 07:58:51;56678;56439;56073;130.15;128.41;125.16;11064;5080;198510;56639;56450;56076;265.44;271.88;264.84;25366;1877.3;
